Winner1,Winner2,Winner3,Winner4,Winner5,Loser1,Loser2,Loser3,Loser4,Loser5,K
RAI,---,---,---,---,AVG,---,---,---,---,0.5
QUA,---,---,---,---,AVG,---,---,---,---,0.5
OSA,---,---,---,---,AVG,---,---,---,---,0.5
DVD,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,QUA,---,---,---,---,0.5
AVG,---,---,---,---,OSA,---,---,---,---,0.5
AVG,---,---,---,---,DVD,---,---,---,---,0.5
DLK,---,---,---,---,AVG,---,---,---,---,0.5
LEX,---,---,---,---,AVG,---,---,---,---,0.5
AYN,---,---,---,---,AVG,---,---,---,---,0.5
DEK,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,RAI,---,---,---,---,0.5
AVG,---,---,---,---,DLK,---,---,---,---,0.5
AVG,---,---,---,---,LEX,---,---,---,---,0.5
AVG,---,---,---,---,AYN,---,---,---,---,0.5
AVG,---,---,---,---,DEK,---,---,---,---,0.5
MRF,---,---,---,---,AVG,---,---,---,---,0.5
CHP,---,---,---,---,AVG,---,---,---,---,0.5
FLP,---,---,---,---,AVG,---,---,---,---,0.5
SZP,---,---,---,---,AVG,---,---,---,---,0.5
VOI,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,MRF,---,---,---,---,0.5
AVG,---,---,---,---,CHP,---,---,---,---,0.5
AVG,---,---,---,---,FLP,---,---,---,---,0.5
AVG,---,---,---,---,SZP,---,---,---,---,0.5
AVG,---,---,---,---,VOI,---,---,---,---,0.5
TNR,---,---,---,---,AVG,---,---,---,---,0.5
JP,---,---,---,---,AVG,---,---,---,---,0.5
MAD,---,---,---,---,AVG,---,---,---,---,0.5
MAR,---,---,---,---,AVG,---,---,---,---,0.5
EMB,---,---,---,---,AVG,---,---,---,---,0.5
DAM,---,---,---,---,AVG,---,---,---,---,0.5
IEY,---,---,---,---,AVG,---,---,---,---,0.5
SH,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,TNR,---,---,---,---,0.5
AVG,---,---,---,---,JP,---,---,---,---,0.5
AVG,---,---,---,---,MAD,---,---,---,---,0.5
AVG,---,---,---,---,MAR,---,---,---,---,0.5
AVG,---,---,---,---,EMB,---,---,---,---,0.5
AVG,---,---,---,---,DAM,---,---,---,---,0.5
AVG,---,---,---,---,IEY,---,---,---,---,0.5
AVG,---,---,---,---,SH,---,---,---,---,0.5
CG,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,CG,---,---,---,---,0.5
KRZ,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,KRZ,---,---,---,---,0.5
AVG,---,---,---,---,MUR,---,---,---,---,0.5
AVG,---,---,---,---,BOL,---,---,---,---,0.5
AVG,---,---,---,---,CHE,---,---,---,---,0.5
AVG,---,---,---,---,KRB,---,---,---,---,0.5
AVG,---,---,---,---,KEN,---,---,---,---,0.5
AVG,---,---,---,---,VB,---,---,---,---,0.5
AVG,---,---,---,---,LEO,---,---,---,---,0.5
MUR,---,---,---,---,AVG,---,---,---,---,0.5
BOL,---,---,---,---,AVG,---,---,---,---,0.5
CHE,---,---,---,---,AVG,---,---,---,---,0.5
KRB,---,---,---,---,AVG,---,---,---,---,0.5
KEN,---,---,---,---,AVG,---,---,---,---,0.5
VB,---,---,---,---,AVG,---,---,---,---,0.5
LEO,---,---,---,---,AVG,---,---,---,---,0.5
MAD,---,---,---,---,LEX,---,---,---,---,1
IEY,---,---,---,---,SZP,---,---,---,---,1
JP,---,---,---,---,SH,---,---,---,---,1
EMB,---,---,---,---,MAR,---,---,---,---,1
TNR,---,---,---,---,DAM,---,---,---,---,1
SZP,---,---,---,---,SH,---,---,---,---,1
JP,---,---,---,---,IEY,---,---,---,---,1
RAI,---,---,---,---,EMB,---,---,---,---,1
TNR,---,---,---,---,MRF,---,---,---,---,1
AVG,---,---,---,---,AVG,---,---,---,---,1
AVG,---,---,---,---,AVG,---,---,---,---,1
EMB,---,---,---,---,SZP,---,---,---,---,1
MRF,---,---,---,---,LEX,---,---,---,---,1
AVG,---,---,---,---,AVG,---,---,---,---,1
MRF,---,---,---,---,EMB,---,---,---,---,1
JP,---,---,---,---,MAD,---,---,---,---,1
RAI,---,---,---,---,TNR,---,---,---,---,1
MRF,---,---,---,---,TNR,---,---,---,---,1
RAI,---,---,---,---,JP,---,---,---,---,1
JP,---,---,---,---,MRF,---,---,---,---,1
JP,---,---,---,---,RAI,---,---,---,---,1
JP,---,---,---,---,RAI,---,---,---,---,1
KRZ,---,---,---,---,CG,---,---,---,---,1
MRF,---,---,---,---,CHP,---,---,---,---,1
RAI,---,---,---,---,KRZ,---,---,---,---,1
CHP,---,---,---,---,CG,---,---,---,---,1
AVG,---,---,---,---,AVG,---,---,---,---,1
KRZ,---,---,---,---,CHP,---,---,---,---,1
MRF,---,---,---,---,RAI,---,---,---,---,1
RAI,---,---,---,---,KRZ,---,---,---,---,1
RAI,---,---,---,---,MRF,---,---,---,---,1
RAI,---,---,---,---,MRF,---,---,---,---,1
MUR,---,---,---,---,CG,---,---,---,---,1
LEX,---,---,---,---,BOL,---,---,---,---,1
MAD,---,---,---,---,CHE,---,---,---,---,1
JP,---,---,---,---,FLP,---,---,---,---,1
VB,---,---,---,---,LEO,---,---,---,---,1
TNR,---,---,---,---,MUR,---,---,---,---,1
LEO,---,---,---,---,CG,---,---,---,---,1
BOL,---,---,---,---,MUR,---,---,---,---,1
BOL,---,---,---,---,DVD,---,---,---,---,1
LEO,---,---,---,---,KRB,---,---,---,---,1
LEX,---,---,---,---,CHE,---,---,---,---,1
MAD,---,---,---,---,QUA,---,---,---,---,1
VB,---,---,---,---,CG,---,---,---,---,1
KRB,---,---,---,---,DVD,---,---,---,---,1
CHE,---,---,---,---,OSA,---,---,---,---,1
QUA,---,---,---,---,BOL,---,---,---,---,1
LEX,---,---,---,---,IEY,---,---,---,---,1
MRF,---,---,---,---,LEO,---,---,---,---,1
MAD,---,---,---,---,RAI,---,---,---,---,1
IEY,---,---,---,---,QUA,---,---,---,---,1
LEO,---,---,---,---,CG,---,---,---,---,1
IEY,---,---,---,---,LEO,---,---,---,---,1
SZP,---,---,---,---,CHE,---,---,---,---,1
MRF,---,---,---,---,LEX,---,---,---,---,1
MAD,---,---,---,---,VB,---,---,---,---,1
SZP,---,---,---,---,LEX,---,---,---,---,1
IEY,---,---,---,---,VB,---,---,---,---,1
IEY,---,---,---,---,SZP,---,---,---,---,1
MRF,---,---,---,---,MAD,---,---,---,---,1
IEY,---,---,---,---,MAD,---,---,---,---,1
IEY,---,---,---,---,MRF,---,---,---,---,1
IEY,---,---,---,---,MRF,---,---,---,---,1
MAD,---,---,---,---,KRB,---,---,---,---,1
JP,---,---,---,---,KEN,---,---,---,---,1
MRF,---,---,---,---,VB,---,---,---,---,1
TNR,---,---,---,---,LEX,---,---,---,---,1
KRB,---,---,---,---,LEO,---,---,---,---,1
VB,---,---,---,---,CHE,---,---,---,---,1
VB,---,---,---,---,BOL,---,---,---,---,1
LEX,---,---,---,---,KRB,---,---,---,---,1
MRF,---,---,---,---,JP,---,---,---,---,1
TNR,---,---,---,---,MAD,---,---,---,---,1
JP,---,---,---,---,LEX,---,---,---,---,1
VB,---,---,---,---,MAD,---,---,---,---,1
JP,---,---,---,---,VB,---,---,---,---,1
MRF,---,---,---,---,TNR,---,---,---,---,1
JP,---,---,---,---,TNR,---,---,---,---,1
MRF,---,---,---,---,JP,---,---,---,---,1
AVG,---,---,---,---,AVG,---,---,---,---,1
VOI,---,---,---,---,DLK,---,---,---,---,1
RAI,---,---,---,---,CHP,---,---,---,---,1
SZP,---,---,---,---,FLP,---,---,---,---,1
AVG,---,---,---,---,AVG,---,---,---,---,1
AVG,---,---,---,---,AVG,---,---,---,---,1
MRF,---,---,---,---,VOI,---,---,---,---,1
RAI,---,---,---,---,SZP,---,---,---,---,1
AVG,---,---,---,---,AVG,---,---,---,---,1
SZP,---,---,---,---,DLK,---,---,---,---,1
SZP,---,---,---,---,VOI,---,---,---,---,1
MRF,---,---,---,---,RAI,---,---,---,---,1
RAI,---,---,---,---,SZP,---,---,---,---,1
MRF,---,---,---,---,RAI,---,---,---,---,1
RAI,---,---,---,---,DLK,---,---,---,---,1
LEX,---,---,---,---,AYN,---,---,---,---,1
DEK,---,---,---,---,AYN,---,---,---,---,1
DLK,---,---,---,---,DEK,---,---,---,---,1
RAI,---,---,---,---,LEX,---,---,---,---,1
DLK,---,---,---,---,LEX,---,---,---,---,1
RAI,---,---,---,---,DLK,---,---,---,---,1